Name,Commune,2013,2014,2015,2016,2017,Site_web
Site de Conques (ville),Conques,600 000,600 000,600 000,600 000,600 000,Se rendre sur tourisme-conques.fr
Palais des Papes,Avignon,595 257,611 836,641 554,595 865,598 085,Se rendre sur palais-des-papes.com
Parc d\'attractions Nigloland,Dolancourt,510 000,560 000,560 000,600 000,590 000,Se rendre sur nigloland.fr
Sanctuaire de Lourdes,Lourdes,nd,nd,549 599,573 049,556 399,Se rendre sur lourdes-france.org
Carrières de lumière des Baux-de-Provence,Les Baux-de-Provence,372 569,477 852,512 000,558 613,554 000,Se rendre sur carrieres-lumieres.com
Parc du Héron,Villeneuve d\'Ascq,469 242,537 204,500 821,533 398,549 764,Se rendre sur villeneuvedascq.fr
Centre national de la mer - Nausicaa,Boulogne-sur-Mer,585 549,595 064,547 120,541 747,544 439,Se rendre sur nausicaa.fr
Catacombes,Paris,310 957,352 616,505 085,512 284,537 935,Se rendre sur catacombes.paris.fr
Zoo d\'Amnéville-les-Thermes,Amnéville-les-Thermes,584 406,608 846,694 630,521 240,531 000,Se rendre sur zoo-amneville.com
Château du Haut-Koenigsbourg,Orschwiller,506 415,554 862,523 812,522 005,518 279,Se rendre sur haut-koenigsbourg.fr
Musée d\'art moderne de la ville de Paris,Paris,695 376,588 725,670 041,613 402,506 246,Se rendre sur mam.paris.fr
Château de Fontainebleau,Fontainebleau,453 872,517 000,470 190,466 193,501 000,Se rendre sur chateaudefontainebleau.fr
Gouffre de Padirac,Padirac,435 272,445 181,452 250,474 181,482 831,Se rendre sur gouffre-de-padirac.com
Téléphérique du Brévent,Chamonix-Mont-Blanc,454 713,408 481,457 149,452 508,478 970,"82fr.html\"" target=\""_blank\"">Se rendre sur chamonix.com"
Centre Interprétation de l\'Art Pariétal - Lascaux IV (5),Montignac,ne,ne,ne,20 118,474 148,Se rendre sur lascaux.fr
Parc zoologique du bois de Boulogne (Zoo de Lille),Lille,871 690,999 426,831 312,881 097,465 000,Se rendre sur lille.fr
Musée du Louvre Lens,Lens,863 117,509 680,353 761,444 602,450 324,Se rendre sur louvrelens.fr
Centre aqualudique les Atlantides au Mans,Le Mans,458 259,458 246,448 773,450 000,450 000,Se rendre sur lemans.fr
Parc zoologique de Thoiry,Thoiry,433 324,390 000,400 000,384 000,450 000,Se rendre sur thoiry.net
Domaine de Chantilly,Chantilly,nd,445 000,467 000,437 000,449 000,Se rendre sur domainedechantilly.com
Musée du Mucem,Marseille,610 749,649 615,539 000,545 000,448 909,Se rendre sur mucem.org
Cité du Vin,Bordeaux,ne,ne,ne,270 000,445 000,Se rendre sur laciteduvin.com
Parc zoologique de La Flèche,La Flèche,196 570,209 635,344 322,394 188,441 368,Se rendre sur zoo-la-fleche.com
Musée de l\'Hôtel-Dieu - Hospices de Beaune,Beaune,411 148,426 190,439 512,425 530,436 825,Se rendre sur hospices-de-beaune.com
Tours de Notre-Dame,Paris,464 667,588 725,473 641,407 781,431 724,Se rendre sur notredamedeparis.fr
Visitor Center de Colleville-sur-Mer (cimetière Américain),Colleville-sur-Mer,442 579,527 908,489 329,421 049,428 814,Se rendre sur abmc.gov (propriété des Etats-Unis)
Domaine régional de Chaumont-sur-Loire,Chaumont-sur-Loire,nd,nd,402 568,392 387,427 422,Se rendre sur domaine-chaumont.fr
Palais de la Porte Dorée (6),Paris,nd,nd,nd,331 000,420 470,Se rendre sur palais-portedoree.fr
Palais de la Découverte,Paris,530 824,nd,541 736,559 740,418 098,Se rendre sur palais-decouverte.fr
Caverne du Pont-d\'Arc (Grotte de Chauvet 2),Vallon Pont-d\'Arc,ne,ne,476 796,502 853,418 000,Se rendre sur grottechauvet2ardeche.com
Océanopolis,Brest,429 000,400 390,444 046,392 475,413 016,Se rendre sur oceanopolis.com
Citadelle de Blaye,Blaye,384 251,443 293,432 502,448 105,407 000,Se rendre sur blaye.fr
Cité de l\'espace,Toulouse,304 423,302 115,298 898,323 013,405 539,Se rendre sur cite-espace.com
Les Antilles à Jonzac,Jonzac,399 000,399 000,399 100,399 360,403 454,Se rendre sur lesantillesdejonzac.com
Pont Saint Benezet d\'Avignon,Avignon,370 351,384 842,380 512,393 487,397 946,Se rendre sur avignon-tourisme.com
Vedettes de Bréhat,Île-de-Bréhat,351 621,388 982,372 973,397 493,395 256,Se rendre sur vedettesdebrehat.com
Panoramique des Dômes,Orcines,305 435,411 550,439 300,402 913,394 600,Se rendre sur panoramiquedesdomes.fr
Toulouse plage,Toulouse,nd,nd,nd,381 307,390 620,Se rendre sur toulouse.fr
Conciergerie,Paris,498 912,488 860,418 920,355 735,386 638,Se rendre sur paris-conciergerie.fr
Parc zoologique et botanique,Mulhouse,340 935,400 931,381 174,357 071,385 579,Se rendre sur zoo-mulhouse.com
Thermapolis,Amnéville les Thermes,425 422,423 513,395 846,399 442,383 591,Se rendre sur thermapolis.com
Cinémathèque française,Paris,nd,nd,nd,345 656,380 000,Se rendre sur cinematheque.fr
Seaquarium du Grau-du-Roi,Le Grau-du-Roi,351 632,351 520,356 342,376 136,379 325,Se rendre sur seaquarium.fr
Mémorial de la paix,Caen,356 000,438 153,383 958,349 455,371 752,Se rendre sur memorial-caen.fr
Dune du Pilat,La Teste-de-Buch,276 352,296 984,329 844,320 370,371 500,Se rendre sur ladunedupilat.com
Parc de Champagne,Reims,232 468,353 072,382 738,384 037,370 107,Se rendre sur reims.fr
Jacobins de Toulouse,Toulouse,108 066,120 277,142 945,311 780,369 158,Se rendre sur jacobins.toulouse.fr
Cathédrale de Rodez,Rodez,318 951,nd,298 865,365 151,367 470,Se rendre sur tourisme-aveyron.com
Aquarium de Saint-Malo,Saint-Malo,340 000,326 661,358 524,346 000,364 500,Se rendre sur aquarium-st-malo.com
Parc Saint-Paul,Saint-Paul,375 460,363 000,362 493,369 592,361 671,Se rendre sur parcsaintpaul.fr
Tapisserie de Bayeux,Bayeux,353 043,394 554,382 217,350 828,359 699,Se rendre sur bayeuxmuseum.com
Casino de Blotzheim,Blotzheim,388 094,384 340,372 341,355 555,357 171,Se rendre sur casinosbarriere.com
Musée des beaux-arts,Lyon,331 450,350 361,301 258,333 835,356 000,Se rendre sur mba-lyon.fr
Petit train de la Rhune,Sare,326 319,328 085,337 943,364 033,352 621,Se rendre sur rhune.com
Parc de la mer de sable,Ermenonville,315 700,315 000,330 000,330 000,350 000,Se rendre sur merdesable.fr
Ossuaire de Douaumont,Douaumont,244 000,419 151,314 402,509 207,348 308,Se rendre sur verdun-douaumont.com
Arènes de Nîmes,Nîmes,327 380,338 063,328 125,333 805,348 123,Se rendre sur arenes-nimes.com
Centre Pompidou-Metz,Metz,335 000,350 000,320 716,300 589,345 549,Se rendre sur centrepompidou-metz.fr
Montagne des singes,Kintzheim,282 828,307 704,313 876,327 445,337 678,Se rendre sur montagnedessinges.com
La Vallée des Saints,Carnoet,87 590,102 000,132 000,236 671,336 900,Se rendre sur lavalleedessaints.com
Vulcania,Saint-Ours-les-Roches,334 500,322 500,344 000,350 000,335 000,Se rendre sur vulcania.com
Aquarium Mare Nostrum - Planet Ocean,Montpellier,340 000,nd,nd,nd,334 924,Se rendre sur planetoceanworld.fr
Parc Phoenix,Nice,442 233,458 575,394 599,372 113,332 394,Se rendre sur parc-phoenix.org
Parc animalier de Sainte Croix,Rhodes,254 177,277 891,310 000,325 239,328 000,Se rendre sur parcsaintecroix.com
Parc Sportica,Gravelines,273 000,289 000,290 000,304 886,322 758,Se rendre sur sportica.fr
Musée Jacquemart-André,Paris,391 311,326 126,280 000,380 000,320 000,Se rendre sur musee-jacquemart-andre.com
Parc animalier Réserve africaine de Sigean,Sigean,313 739,314 132,278 913,291 387,319 587,Se rendre sur reserveafricainesigean.fr
Casino de Ribeauvillé,Ribeauvillé,295 878,288 878,299 015,316 163,319 040,Se rendre sur casinosbarriere.com
Téléphérique de la Bastille,Grenoble,291 403,306 151,315 074,311 059,318 762,Se rendre sur bastille-grenoble.fr
Guédelon chantier médiéval,Treigny,287 047,297 856,304 189,298 713,316 096,Se rendre sur guedelon.fr
L\'Ilebulle,La Flèche,nd,nd,nd,143 109,314 344,Se rendre sur ville-lafleche.fr
Circuit - compétitions nationales et internationales,Nevers,324 252,325 000,312 000,310 000,312 000,Se rendre sur circuitmagnycours.com
Safari de Peaugres,Peaugres,263 491,309 222,290 016,299 995,311 901,Se rendre sur safari-peaugres.com
