Nom,Adresse,Latitude,Longitude
Musée des arts décoratifs de Paris France,"107 Rue de Rivoli, 75001 Paris, France",48.8631146,2.3334945
Château de Chenonceau France,"37150 Chenonceaux, France",47.3248696,1.0703005
Tour Montparnasse France,"33 Av. du Maine, 75015 Paris, France",48.8421379,2.3219514
Aquarium de La Rochelle France,"Quai Louis Prunier, 17000 La Rochelle, France",46.1532422,-1.1506112
Bateaux-promenades de Strasbourg - Batorama France,"18 Pl. de la Cathédrale, 67000 Strasbourg, France",48.5820889,7.750118499999999
Bateaux-promenades de Strasbourg - Batorama France,"Pl. du Marché aux Poissons, 67000 Strasbourg, France",48.5799952,7.7514227
Chemin de fer du Montenvers-Mer de Glace (4) France,"Train du Montenvers Mer de Glace, 74400 Chamonix-Mont-Blanc, France",45.9282478,6.8956012
Casino d\'Amnéville France,"Parc de Coulange, Rue de l'Europe, 57360 Amnéville, France",49.244668,6.132721
Musée des confluences France,"86 Quai Perrache, 69002 Lyon, France",45.7326472,4.818240299999999
Panthéon France,"Pl. du Panthéon, 75005 Paris, France",48.8462218,2.3464138
Les Machines de l\'Île (Galerie France,"Parc des Chantiers, Bd Léon Bureau, 44200 Nantes, France",47.20615799999999,-1.564443
Palais Garnier et musée de l\'Opéra de Paris France,"Pl. de l'Opéra, 75009 Paris, France",48.8719697,2.3316014
Parc zoologique de Paris France,"Av. Daumesnil, 75012 Paris, France",48.83340930000001,2.4144067
Musée Claude Monet de Giverny France,"84 Rue Claude Monet, 27620 Giverny, France",49.0753598,1.5337318
Musée Claude Monet de Giverny France,"84 Rue Claude Monet, 27620 Giverny, France",49.0753792,1.5337035
Palais de Tokyo France,"13 Av. du Président Wilson, 75116 Paris, France",48.8645866,2.2966748
Musée Grévin France,"10 Bd Montmartre, 75009 Paris, France",48.8718125,2.34221
Musée océanographique de Monaco France,"Av. Saint-Martin, 98000 Monaco",43.7308132,7.425573999999999
Musée Picasso France,"5 Rue de Thorigny, 75003 Paris, France",48.8596668,2.3626138
Parc zoologique de la Palmyre France,"6 Av. de Royan, 17570 Les Mathes, France",45.6857863,-1.1668122
Parc d\'attractions Le Pal France,"Saint-Pourçain-sur-Besbre, 03290 Dompierre-sur-Besbre, France",46.509026,3.625388
Verrerie de Biot France,"5 Chem. des Combes, 06410 Biot, France",43.6263073,7.102199199999999
Site de Conques (ville) France,"12320 Conques-en-Rouergue, France",44.599402,2.396037
Site de Conques (ville) France,"12320 Conques-en-Rouergue, France",44.59881,2.3975952
Site de Conques (ville) France,"Prieuré Ste Foy de Conques, 12320 Conques-en-Rouergue, France",44.5992151,2.3986468
Site de Conques (ville) France,"7-1 Rue des Écoles, 12320 Conques-en-Rouergue, France",44.5993123,2.3963277
Site de Conques (ville) France,"12320 Conques-en-Rouergue, France",44.5997482,2.3964408
Site de Conques (ville) France,"Rue Emile Roudier, 12320 Conques-en-Rouergue, France",44.59957180000001,2.4012138
Site de Conques (ville) France,"Conques, 12320 Conques-en-Rouergue, France",44.599402,2.396037
Site de Conques (ville) France,"12320 Conques-en-Rouergue, France",44.5689866,2.3925765
Site de Conques (ville) France,"12320 Conques-en-Rouergue, France",44.5997274,2.3965235
Palais des Papes France,"Pl. du Palais, 84000 Avignon, France",43.9508521,4.8076971
Parc d\'attractions Nigloland France,"D619, 10200 Dolancourt, France",48.2596575,4.6095269
Sanctuaire de Lourdes France,"1 Av. Mgr Théas, 65108 Lourdes, France",43.097419,-0.05829210000000001
Carrières de lumière des Baux-de-Provence France,"Route de Maillane, 13520 Les Baux-de-Provence, France",43.7485538,4.796414
Parc du Héron France,"59650 Villeneuve-d'Ascq, France",50.63622729999999,3.147643
Centre national de la mer - Nausicaa France,"Bd Sainte-Beuve, 62200 Boulogne-sur-Mer, France",50.7304839,1.5945032
Catacombes France,"1 Av. du Colonel Henri Rol-Tanguy, 75014 Paris, France",48.8339195,2.3323904
Zoo d\'Amnéville-les-Thermes France,"1 Rue du Tigre, 57360 Amnéville, France",49.2455253,6.1380195
Château du Haut-Koenigsbourg France,"D159, 67600 Orschwiller, France",48.2494853,7.3444831
Musée d\'art moderne de la ville de Paris France,"11 Av. du Président Wilson, 75116 Paris, France",48.86434209999999,2.2978208
Musée d\'art moderne de la ville de Paris France,"Place Georges-Pompidou, 75004 Paris, France",48.8603259,2.3524515
Château de Fontainebleau France,"77300 Fontainebleau, France",48.4021018,2.6994844
